Administrative,Informational,ProductRelated,ExitRates,PageValues,SpecialDay,Month,Region,TrafficType,VisitorType0,VisitorType1,Weekend,Revenue
0,0,12,0.06944444400000001,0.0,0.8,5,2,2,0.0,1.0,0,0
0,0,44,0.032142857000000004,0.0,0.0,12,1,1,0.0,1.0,0,0
2,0,7,0.011111111000000002,0.0,0.0,3,8,2,0.0,0.0,0,0
3,0,37,0.004273504,47.93128205,0.0,5,3,2,0.0,0.0,1,1
0,0,1,0.2,0.0,0.0,5,3,3,0.0,1.0,1,0
3,0,9,0.045454545,0.0,0.0,9,6,13,0.0,1.0,0,0
8,1,19,0.021816238999999998,21.318,0.0,5,4,2,0.0,1.0,1,1
12,3,336,0.01331553,1.178989949,0.0,11,1,11,0.0,1.0,0,1
1,0,6,0.04444444400000001,0.0,0.0,11,3,3,0.0,1.0,0,0
0,0,39,0.028205128,0.0,0.4,5,9,3,0.0,1.0,0,0
0,0,22,0.0145,0.0,0.0,5,8,2,0.0,1.0,0,0
1,0,19,0.058730159000000004,0.0,0.6,5,1,3,0.0,1.0,0,0
1,0,16,0.0014705879999999999,54.91911804,0.0,9,7,2,0.0,0.0,0,1
1,2,144,0.020664031,0.0,0.0,11,1,2,0.0,1.0,0,1
0,0,21,0.010526316,14.13268846,0.0,12,1,2,0.0,0.0,0,1
6,2,275,0.018539498,0.0,0.0,11,1,2,0.0,1.0,0,0
4,0,8,0.0020833329999999997,0.0,0.0,5,2,2,0.0,1.0,1,0
2,0,19,0.00125,0.0,0.0,10,1,2,0.0,1.0,0,0
6,0,4,0.022222222000000003,0.0,0.0,9,7,2,0.0,0.0,0,1
0,0,7,0.085714286,0.0,0.0,3,4,1,0.0,1.0,0,0
3,1,19,0.032424242,11.5952257,0.0,11,3,2,0.0,1.0,0,0
5,0,33,0.021666667,0.0,0.0,11,4,1,0.0,1.0,1,0
0,0,14,0.04952381,0.0,0.0,3,3,1,0.0,1.0,0,0
0,0,10,0.022222222000000003,0.0,0.0,12,3,2,0.0,0.0,0,0
2,0,24,0.027999999999999997,0.0,0.0,5,2,6,0.0,1.0,0,0
4,0,17,0.030952381,0.0,0.0,12,1,13,0.0,1.0,1,0
2,0,15,0.04,0.0,0.0,12,4,1,0.0,1.0,0,0
0,0,10,0.022222222000000003,40.43377778,0.0,5,1,4,0.0,0.0,0,1
2,1,67,0.071984127,4.001173545,0.0,8,2,1,0.0,1.0,0,1
3,0,63,0.001587302,1.298232174,0.0,8,6,4,0.0,1.0,0,0
4,0,9,0.009090909,0.0,0.0,12,4,2,0.0,1.0,0,0
2,0,12,0.023333332999999998,44.73466667,0.0,3,6,2,0.0,1.0,0,1
2,0,16,0.025925926000000002,0.0,0.0,3,4,2,0.0,1.0,1,0
0,0,3,0.1,0.0,0.0,5,1,3,0.0,1.0,0,0
0,0,2,0.2,0.0,0.0,6,4,13,0.0,1.0,0,0
9,0,116,0.008064515999999999,84.30663844,0.0,5,2,6,0.0,1.0,1,1
0,0,3,0.033333333,0.0,0.0,11,3,3,0.0,1.0,0,0
0,0,10,0.04,0.0,0.0,11,3,20,0.0,1.0,0,0
0,0,13,0.007692308,0.0,0.0,3,6,2,0.0,1.0,0,0
3,0,14,0.023076923,0.0,0.0,11,4,2,0.0,1.0,0,0
2,0,8,0.01,0.0,0.0,3,7,2,0.0,1.0,1,0
4,0,37,0.017105263,12.96520279,0.0,11,1,2,0.0,1.0,0,1
0,0,9,0.022222222000000003,0.0,0.0,12,6,13,0.0,1.0,0,0
7,3,111,0.018834175,6.445051499,0.0,3,1,2,0.0,1.0,1,0
6,0,81,0.026666667,0.0,0.0,5,5,4,0.0,1.0,0,0
1,0,13,0.016666667,0.0,0.0,11,1,2,0.0,0.0,0,0
2,6,22,0.032738095,22.93531071,0.6,5,1,2,0.0,1.0,0,0
7,0,43,0.055782313,0.0,0.0,7,2,13,0.0,1.0,0,0
3,4,12,0.041356389,0.0,0.4,5,1,4,0.0,1.0,0,0
2,2,10,0.021428571,0.0,0.0,5,1,6,0.0,0.0,1,0
0,0,14,0.021428571,0.0,0.0,11,6,3,0.0,1.0,0,0
5,0,12,0.037301587000000004,5.0344092510000005,0.0,9,2,1,0.0,1.0,0,1
0,3,7,0.025,0.0,0.0,5,1,5,0.0,0.0,0,0
2,0,16,0.022222222000000003,0.0,0.0,2,1,6,0.0,1.0,0,0
0,0,1,0.2,0.0,0.0,11,1,8,0.0,0.0,1,0
0,0,1,0.2,0.0,0.0,5,4,3,0.0,1.0,0,0
10,1,24,0.0034482759999999997,0.0,0.0,10,1,4,0.0,1.0,0,0
5,0,11,0.072916667,0.0,0.0,5,1,4,0.0,1.0,0,0
0,0,44,0.014728682,0.0,0.0,12,1,2,0.0,1.0,0,0
5,0,16,0.031481481,0.0,0.0,5,8,4,0.0,1.0,0,0
0,0,5,0.18666666699999998,0.0,0.0,8,4,20,0.0,1.0,0,0
1,0,5,0.016666667,0.0,0.0,3,4,2,0.0,0.0,0,0
10,0,89,0.03729051,0.0,0.0,7,7,1,0.0,1.0,0,0
7,7,33,0.040415616,8.08269,0.0,5,1,4,0.0,1.0,1,0
0,0,8,0.05,0.0,0.0,3,1,3,0.0,1.0,0,0
1,0,10,0.002777778,0.0,0.0,12,8,8,0.0,0.0,1,0
0,0,4,0.075,0.0,1.0,5,1,17,0.0,1.0,1,0
6,6,8,0.042222222000000004,0.0,0.0,8,4,2,0.0,1.0,1,0
4,1,82,0.019401736,0.0,0.0,11,1,2,0.0,1.0,1,0
15,3,66,0.016533333,0.0,0.0,11,3,10,0.0,1.0,0,0
0,0,9,0.144444444,0.0,0.2,5,6,3,0.0,1.0,0,0
4,0,31,0.011574073999999998,57.06546413,0.0,12,4,1,0.0,1.0,0,0
0,0,10,0.133333333,0.0,0.0,7,3,13,0.0,1.0,0,0
0,0,20,0.041666667000000004,0.0,0.0,12,1,1,0.0,1.0,0,0
1,0,27,0.007142857,0.0,0.0,3,4,2,0.0,1.0,0,0
4,0,9,0.002777778,0.0,0.0,7,3,2,0.0,0.0,0,0
0,0,3,0.166666667,0.0,0.6,5,1,6,0.0,1.0,0,0
3,0,47,0.043171115,0.0,0.0,11,9,2,0.0,1.0,0,0
0,0,1,0.2,0.0,0.0,11,4,11,0.0,1.0,1,0
0,0,1,0.2,0.0,0.0,3,9,1,0.0,1.0,0,0
1,1,18,0.017160494,0.0,0.0,11,7,2,0.0,1.0,0,0
0,0,2,0.2,0.0,0.0,5,1,4,0.0,1.0,0,0
0,0,34,0.005882353000000001,5.860439769,0.0,9,7,2,0.0,1.0,0,1
1,0,4,0.013333333000000001,0.0,0.0,12,2,2,0.0,1.0,1,0
11,9,45,0.014311471000000001,7.753880157999999,0.0,3,1,2,0.0,1.0,0,1
0,0,16,0.037777778,50.81417971,0.0,12,7,2,0.0,0.0,0,1
0,0,49,0.034693878,0.0,0.0,11,8,1,0.0,1.0,0,0
0,0,2,0.2,0.0,0.0,3,1,1,0.0,1.0,0,0
2,0,24,0.059722222,0.0,0.0,3,1,1,0.0,1.0,0,0
1,1,0,0.2,0.0,0.0,5,6,2,0.0,1.0,0,0
2,0,45,0.005,0.0,0.0,8,1,2,0.0,0.0,0,0
0,0,17,0.007843137,0.0,0.0,3,1,2,0.0,1.0,0,0
2,3,22,0.013999999999999999,16.14384,0.0,3,4,2,0.0,1.0,0,1
13,7,68,0.026801619,1.5978034680000002,0.0,12,1,2,0.0,1.0,0,1
8,0,27,0.019984651000000003,0.0,0.0,12,2,8,0.0,1.0,0,0
0,0,4,0.066666667,0.0,0.0,3,9,1,0.0,1.0,1,0
10,3,151,0.01196589,0.0,0.0,12,4,2,0.0,1.0,0,0
0,0,2,0.1,0.0,0.0,11,1,1,0.0,1.0,0,0
2,0,73,0.018933333,0.0,0.0,6,7,4,0.0,1.0,1,0
9,0,21,0.051538462,0.0,0.0,5,3,1,0.0,1.0,1,0
0,0,10,0.04,0.0,0.0,11,1,2,0.0,1.0,0,0
0,0,53,0.031446886,12.32661404,0.0,11,1,1,0.0,1.0,0,1
5,0,6,0.0525,0.0,0.0,12,5,2,0.0,1.0,0,0
1,0,44,0.031111111,24.83718656,0.0,6,4,13,0.0,1.0,0,1
1,0,3,0.085714286,0.0,0.0,11,4,8,0.0,1.0,0,0
9,0,25,0.037575758,0.0,0.0,3,3,1,0.0,1.0,0,0
5,0,94,0.025420875,6.322599996,0.0,8,8,1,0.0,1.0,0,0
0,1,14,0.16875,0.0,0.6,5,1,13,0.0,1.0,0,0
0,0,5,0.04,0.0,0.0,5,8,1,0.0,1.0,0,0
12,0,52,0.00327381,0.0,0.0,5,2,2,0.0,1.0,1,0
10,1,113,0.016691038999999998,45.55270796,0.0,8,3,1,0.0,1.0,0,0
1,0,19,0.010526316,0.0,0.0,5,1,4,0.0,1.0,0,0
1,0,19,0.023529412000000003,60.34235294,0.6,5,1,3,0.0,1.0,0,1
0,0,1,0.2,0.0,0.0,5,6,4,0.0,1.0,0,0
0,0,4,0.15,0.0,0.0,11,1,10,0.0,1.0,0,0
0,0,15,0.005128205,54.98,0.0,5,4,4,0.0,1.0,0,1
1,0,11,0.066666667,0.0,0.0,11,4,13,0.0,1.0,1,0
2,0,10,0.025,0.0,0.0,11,8,8,0.0,0.0,1,1
8,0,8,0.02,0.0,0.0,5,6,1,0.0,1.0,0,0
1,0,12,0.025,0.0,0.0,3,4,2,0.0,1.0,0,0
7,0,37,0.0165,0.0,0.0,3,8,2,0.0,1.0,0,0
4,0,18,0.031818182,6.750968245,0.0,12,1,1,0.0,1.0,0,1
0,0,20,0.034444444,0.0,0.8,5,1,3,0.0,1.0,0,0
2,0,45,0.004891304,4.859624751,0.0,8,2,1,0.0,1.0,1,0
3,0,17,0.0225,0.0,0.0,11,3,3,0.0,1.0,0,0
0,0,1,0.2,0.0,0.0,5,8,1,0.0,1.0,0,0
4,0,15,0.014285714,17.85338057,0.0,12,1,1,0.0,1.0,0,1
3,0,2,0.022222222000000003,0.0,0.0,11,3,2,0.0,0.0,0,1
2,5,9,0.0125,0.0,0.0,12,3,2,0.0,0.0,0,0
0,0,1,0.2,0.0,0.2,5,1,13,0.0,1.0,0,0
0,0,4,0.05,0.0,0.4,5,3,1,0.0,1.0,0,0
0,0,3,0.033333333,0.0,0.0,12,1,6,0.0,1.0,1,0
4,0,35,0.005428571,0.0,0.0,12,1,2,0.0,0.0,0,0
0,0,23,0.026086957,0.0,0.8,5,2,13,0.0,1.0,0,0
3,0,81,0.021883469,0.0,0.0,11,1,2,0.0,1.0,0,0
0,0,49,0.037163121,0.0,0.0,12,9,1,0.0,1.0,1,0
0,0,1,0.2,0.0,0.0,5,3,3,0.0,1.0,0,0
7,0,28,0.013571429,2.663333333,0.0,5,1,2,0.0,1.0,0,1
1,0,23,0.022727273,0.0,0.0,11,1,10,0.0,1.0,1,0
3,0,59,0.038231522000000004,0.0,0.0,10,1,3,0.0,1.0,1,0
5,0,22,0.001242236,0.0,0.0,3,8,2,0.0,0.0,0,0
1,0,27,0.036666667,0.0,0.4,5,3,13,0.0,1.0,0,0
1,0,14,0.053571429000000004,0.0,0.0,3,1,1,0.0,1.0,1,0
6,0,44,0.036774359,53.22268667,0.4,5,2,2,0.0,1.0,0,0
0,0,6,0.011111111000000002,0.0,0.8,2,4,3,0.0,1.0,0,0
4,3,378,0.023352993,0.0,0.0,11,1,2,0.0,1.0,0,0
2,0,24,0.017391304,0.0,0.0,5,1,6,0.0,1.0,0,0
2,0,137,0.01964546,0.0,0.0,11,1,10,0.0,1.0,1,1
0,0,5,0.0125,0.0,0.0,3,1,2,0.0,1.0,1,0
5,0,57,0.016721311000000003,0.0,0.0,5,1,4,0.0,1.0,0,0
0,1,43,0.078787879,0.0,0.0,6,1,3,0.0,1.0,0,0
3,0,17,0.033333333,24.12558571,0.0,6,6,3,0.0,1.0,0,1
0,0,10,0.07,38.19240444,0.0,11,8,1,0.0,1.0,0,1
1,1,3,0.04,0.0,0.0,11,9,2,0.0,1.0,0,0
0,0,10,0.046666667,0.0,0.0,11,1,2,0.0,1.0,1,1
0,0,15,0.061904762,0.0,0.6,5,9,3,0.0,1.0,0,0
1,0,19,0.125,0.0,0.0,7,3,3,0.0,1.0,0,0
2,0,36,0.046851852,0.0,0.0,11,9,1,0.0,1.0,0,0
1,0,24,0.032,0.0,0.0,11,8,1,0.0,1.0,0,0
4,0,13,0.018181818,31.98,0.0,5,8,3,0.0,1.0,0,1
2,4,77,0.022377452000000003,9.849816466,0.0,5,3,2,0.0,1.0,0,0
4,3,30,0.007428571,9.511714286,0.0,5,2,11,0.0,1.0,0,1
4,0,59,0.032389468,0.0,0.0,12,1,13,0.0,1.0,0,0
0,0,8,0.075,0.0,0.4,5,3,3,0.0,1.0,0,0
0,0,15,0.026666667,0.0,0.0,5,2,2,0.0,1.0,1,0
3,0,2,0.025,0.0,0.0,12,9,20,1.0,0.0,0,0
8,4,52,0.011448413000000001,8.052496178,0.0,7,3,3,0.0,1.0,0,0
2,0,28,0.057,0.0,0.0,12,3,2,0.0,1.0,0,0
6,0,22,0.013512907,65.74605279,0.0,12,5,2,0.0,1.0,0,0
1,0,56,0.025044662999999998,0.0,0.0,11,1,2,0.0,1.0,1,1
13,7,34,0.033988025,5.816167973,0.0,5,6,2,0.0,1.0,0,0
1,0,30,0.006896551999999999,0.0,0.0,10,4,2,0.0,0.0,0,0
2,0,7,0.075,0.0,0.0,5,8,1,0.0,1.0,0,0
0,0,18,0.033333333,0.0,0.0,11,1,3,0.0,1.0,0,0
